origin,destination,departure_time,arrival_time,duration,fare,nonstop,layovers
DEN,OKC,2024-12-02T10:00:00,2024-12-02T12:51:00,PT1H51M,301.4,True,None
DEN,OKC,2024-12-02T15:24:00,2024-12-02T22:07:00,PT5H43M,692.06,False,ORD
DEN,OKC,2024-12-02T11:15:00,2024-12-02T18:53:00,PT6H38M,692.06,False,ORD
DEN,OKC,2024-12-02T07:49:00,2024-12-02T15:58:00,PT7H9M,692.06,False,ORD
DEN,OKC,2024-12-02T13:25:00,2024-12-02T22:07:00,PT7H42M,692.06,False,ORD
DEN,OKC,2024-12-02T09:42:00,2024-12-02T18:53:00,PT8H11M,692.06,False,ORD
DEN,OKC,2024-12-02T06:05:00,2024-12-02T15:58:00,PT8H53M,692.06,False,ORD
DEN,OKC,2024-12-02T20:25:00,2024-12-03T12:04:00,PT14H39M,697.39,False,ORD
DEN,OKC,2024-12-02T19:20:00,2024-12-03T12:04:00,PT15H44M,697.39,False,ORD
DEN,MSP,2024-12-01T08:15:00,2024-12-01T11:11:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-01T11:35:00,2024-12-01T14:31:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-01T20:45:00,2024-12-01T23:41:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-01T00:09:00,2024-12-01T03:08:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-01T09:40:00,2024-12-01T12:39:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-01T21:00:00,2024-12-01T23:59:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-01T13:25:00,2024-12-01T16:24:00,PT1H59M,274.52,True,None
DEN,MSP,2024-12-01T13:50:00,2024-12-01T16:50:00,PT2H,284.2,True,None
DEN,MSP,2024-12-01T06:39:00,2024-12-01T09:40:00,PT2H1M,284.2,True,None
DEN,MSP,2024-12-01T07:45:00,2024-12-01T10:44:00,PT1H59M,313.22,True,None
DEN,MSP,2024-12-01T17:55:00,2024-12-01T20:54:00,PT1H59M,313.22,True,None
DEN,MSP,2024-12-01T08:15:00,2024-12-01T11:11:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-01T11:35:00,2024-12-01T14:31:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-01T20:45:00,2024-12-01T23:41:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-01T00:09:00,2024-12-01T03:08:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-01T09:40:00,2024-12-01T12:39:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-01T21:00:00,2024-12-01T23:59:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-01T16:29:00,2024-12-01T22:51:00,PT5H22M,226.59,False,ORD
DEN,MSP,2024-12-01T15:24:00,2024-12-01T22:51:00,PT6H27M,226.59,False,ORD
DEN,MSP,2024-12-01T23:55:00,2024-12-02T08:43:00,PT7H48M,226.59,False,ORD
DEN,MSP,2024-12-01T13:25:00,2024-12-01T16:24:00,PT1H59M,274.52,True,None
DEN,MSP,2024-12-01T13:50:00,2024-12-01T16:50:00,PT2H,284.2,True,None
DEN,MSP,2024-12-01T06:39:00,2024-12-01T09:40:00,PT2H1M,284.2,True,None
DEN,MSP,2024-12-01T07:45:00,2024-12-01T10:44:00,PT1H59M,313.22,True,None
DEN,MSP,2024-12-01T17:55:00,2024-12-01T20:54:00,PT1H59M,313.22,True,None
DEN,MSP,2024-12-01T07:49:00,2024-12-01T14:17:00,PT5H28M,436.21,False,ORD
DEN,MSP,2024-12-01T15:48:00,2024-12-01T22:24:00,PT5H36M,527.59,False,DFW
DEN,MSP,2024-12-01T09:40:00,2024-12-01T15:58:00,PT5H18M,530.81,False,ORD
DEN,MSP,2024-12-01T07:49:00,2024-12-01T15:58:00,PT7H9M,530.81,False,ORD
DEN,MSP,2024-12-01T13:25:00,2024-12-01T21:31:00,PT7H6M,530.81,False,ORD
DEN,MSP,2024-12-01T15:24:00,2024-12-01T21:31:00,PT5H7M,638.31,False,ORD
DEN,MSP,2024-12-01T23:55:00,2024-12-02T10:23:00,PT9H28M,643.64,False,ORD
DEN,MSP,2024-12-01T11:15:00,2024-12-01T17:37:00,PT5H22M,683.46,False,ORD
DEN,MSP,2024-12-01T09:40:00,2024-12-01T17:37:00,PT6H57M,683.46,False,ORD
DEN,MSP,2024-12-01T13:25:00,2024-12-01T20:03:00,PT5H38M,683.46,False,ORD
DEN,MSP,2024-12-01T20:15:00,2024-12-02T16:28:00,PT19H13M,704.92,False,PDX
DEN,MSP,2024-12-01T10:42:00,2024-12-01T23:59:00,PT12H17M,719.97,False,SEA
DEN,MSP,2024-12-01T21:40:00,2024-12-02T13:25:00,PT14H45M,719.97,False,SEA
DEN,MSP,2024-12-01T13:49:00,2024-12-01T23:59:00,PT9H10M,756.56,False,SEA
DEN,MSP,2024-12-01T17:42:00,2024-12-02T13:25:00,PT18H43M,761.89,False,SEA
DEN,MSP,2024-12-01T11:15:00,2024-12-01T20:03:00,PT7H48M,890.94,False,ORD
DEN,MSP,2024-12-02T10:28:00,2024-12-02T13:24:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-02T19:20:00,2024-12-02T22:16:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-02T00:07:00,2024-12-02T03:06:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-02T07:45:00,2024-12-02T10:44:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-02T21:00:00,2024-12-02T23:59:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-02T13:25:00,2024-12-02T16:24:00,PT1H59M,274.52,True,None
DEN,MSP,2024-12-02T18:59:00,2024-12-02T21:59:00,PT2H,275.6,True,None
DEN,MSP,2024-12-02T06:39:00,2024-12-02T09:40:00,PT2H1M,275.6,True,None
DEN,MSP,2024-12-02T09:40:00,2024-12-02T12:39:00,PT1H59M,313.22,True,None
DEN,MSP,2024-12-02T10:28:00,2024-12-02T13:24:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-02T19:20:00,2024-12-02T22:16:00,PT1H56M,83.17,True,None
DEN,MSP,2024-12-02T00:07:00,2024-12-02T03:06:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-02T07:45:00,2024-12-02T10:44:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-02T21:00:00,2024-12-02T23:59:00,PT1H59M,217.55,True,None
DEN,MSP,2024-12-02T09:42:00,2024-12-02T15:58:00,PT5H16M,226.59,False,ORD
DEN,MSP,2024-12-02T09:42:00,2024-12-02T17:36:00,PT6H54M,226.59,False,ORD
DEN,MSP,2024-12-02T11:15:00,2024-12-02T17:36:00,PT5H21M,226.59,False,ORD
DEN,MSP,2024-12-02T16:29:00,2024-12-02T22:51:00,PT5H22M,226.59,False,ORD
DEN,MSP,2024-12-02T13:25:00,2024-12-02T21:31:00,PT7H6M,226.59,False,ORD
DEN,MSP,2024-12-02T07:49:00,2024-12-02T15:58:00,PT7H9M,226.59,False,ORD
DEN,MSP,2024-12-02T13:25:00,2024-12-02T16:24:00,PT1H59M,274.52,True,None
DEN,MSP,2024-12-02T18:59:00,2024-12-02T21:59:00,PT2H,275.6,True,None
DEN,MSP,2024-12-02T06:39:00,2024-12-02T09:40:00,PT2H1M,275.6,True,None
DEN,MSP,2024-12-02T15:24:00,2024-12-02T21:31:00,PT5H7M,283.56,False,ORD
DEN,MSP,2024-12-02T15:24:00,2024-12-02T22:51:00,PT6H27M,283.56,False,ORD
DEN,MSP,2024-12-02T09:40:00,2024-12-02T12:39:00,PT1H59M,313.22,True,None
DEN,MSP,2024-12-02T06:45:00,2024-12-02T18:48:00,PT11H3M,532.92,False,ATL
DEN,MSP,2024-12-02T21:40:00,2024-12-03T13:25:00,PT14H45M,563.02,False,SEA
DEN,MSP,2024-12-02T17:42:00,2024-12-03T13:25:00,PT18H43M,563.02,False,SEA
DEN,MSP,2024-12-02T13:49:00,2024-12-02T23:59:00,PT9H10M,652.29,False,SEA
DEN,MSP,2024-12-02T10:42:00,2024-12-02T23:59:00,PT12H17M,657.62,False,SEA
DEN,MSP,2024-12-02T20:15:00,2024-12-03T16:26:00,PT19H11M,704.92,False,PDX
PDX,EWR,2024-12-01T21:55:00,2024-12-02T05:59:00,PT5H4M,769.02,True,None
PDX,JFK,2024-12-01T23:59:00,2024-12-02T10:28:00,PT7H29M,231.96,False,MSP
PDX,EWR,2024-12-01T23:59:00,2024-12-02T10:49:00,PT7H50M,231.96,False,MSP
PDX,JFK,2024-12-01T18:44:00,2024-12-02T10:28:00,PT12H44M,237.29,False,MSP
